cod_ibge,latitude,longitude,altitude,dist_cap_uf,dist_cap_fed,area_1920,area_1940,area_1950,area_1960,area_1970,area_1980,area_1985,area_1991,area_1995,area_1998,area_2000,area_2010,temp_media,temp_var,chuva_media,chuva_var
3521903,-21.3180555556,49.0544444444,453,350.6234998766,624.4239145312,692,572,613,615,615,615,615,616.8,503,503.2,501.8,502.1,22.90833333335,4.7166666667,117.9833333333,188.1
3522000,-21.9811111111,48.8047222222,498,282.3062887971,692.6104771808,NA,NA,NA,185,176,176,176,229.4,229,229.4,228.8,229.8,22.35,4.966666666600002,116.76666666665,182.26666666670002
3522109,-24.1830555556,46.7888888889,5,72.0927155052,937.9292531164,1071,1327,1051,608,565,565,565,581,581,597.4,596,599.6,21.0166666667,5.899999999999999,189.13333333334998,186.1333333333
3522158,-24.64,48.8427777778,155,254.9283728363,985.540357302,NA,NA,NA,NA,NA,NA,NA,NA,204,204.7,204.3,183,18.9666666667,6.799999999999999,125.9666666667,113.6
3522208,-23.7169444444,46.8491666667,906,28.7203305666,885.9430504648,1145,1043,1154,1096,342,342,342,339,151,151.8,151.5,150.3,18.5333333333,5.600000000000001,139.75,164.3
3522307,-23.5916666667,48.0530555556,656,144.7407731621,864.8955659708,1976,2022,2029,2035,2035,2035,2035,1955.8,1796,1796.2,1792,1790.2,19.38611,5.8166666666,110.06667166665,133.3444566667
3522406,-23.9822222222,48.8755555556,684,233.3113197882,913.4410358282,1695,3430,2445,2452,2452,2452,2452,2450.5,1830,1830.9,1826.7,1826.3,18.66388833335,6.127776666699999,118.56666666665,119.63333333329999
3522505,-23.5488888889,46.9341666667,770,30.4342755299,866.3750865147,NA,NA,NA,98,98,98,98,91.6,91,91.6,91.4,83.1,18.38333333335,5.6333333332999995,128.63333333335,165.9333333333
3522604,-22.4361111111,46.8216666667,643,124.5434441659,745.9979122464,599,551,557,559,547,547,547,518.6,518,518.8,517.5,518.4,19.55,5.5666666666,140.4166666667,218.7
3522653,-24.5738888889,49.1680555556,589,281.4966926606,982.1549334472,NA,NA,NA,NA,NA,NA,NA,NA,407,407.1,406.3,406.5,18.2583333333,6.65,124.975,107.94999999999999
3522703,-21.5955555556,48.8127777778,481,311.1909902548,650.4599316594,1411,1016,993,996,996,996,996,999.7,999,999.7,997.1,996.9,22.61111166665,4.755556666700002,119.4889,190.24446666659998
3522802,-23.7077777778,49.4897222222,589,291.7420159335,892.7611617757,1685,1317,1347,942,488,488,488,509.1,509,509.1,507.9,507.7,20,6.266666666600003,108.9333333333,107.19999999999999
3522901,-22.2333333333,48.7191666667,456,258.5848405537,719.1947257795,247,211,257,137,137,137,137,140,140,140,139.7,140.8,22.116666666649998,5.166666666699999,114.65,170.7
3523008,-20.6461111111,51.5088888889,318,596.7257088744,658.3855281819,NA,NA,NA,NA,257,257,257,308.1,308,308.1,307.2,301.4,23.88333333335,5.0333333333,110.6,166.3333333334
3523107,-23.4861111111,46.3483333333,790,30.1675633098,869.0850139028,NA,NA,NA,104,104,104,104,82,82,82,81.8,83,19.15,5.699999999999999,137.1,191.2
