;coef;value
405;base;-0,28675694213559877
406;bases;0,0
407;batalha;0,048820153310376695
408;batalhadores;0,052969156479894294
409;batalhas;0,07641032969549028
410;batalhão;0,0
411;batata;-0,0
412;batatas;0,0
413;batismo;0,1814530161409363
414;batista;0,0833002148325832
415;baía;0,01771996338580585
416;bebedouro;-0,09707651179173764
417;bebidas;-0,013360547838108
418;bec;0,0
419;beira;0,13097138550254764
420;beleza;0,15512586845986925
421;belezas;0,2263224881988013
422;belga;0,0028887764311987174
423;beneficiamento;-0,14407582720548887
424;benefício;-0,0
425;benefícios;0,0
426;benemérito;-0,0
427;benfeitor;-0,07886310343191132
428;benfeitores;-0,1338803716928817
429;benfeitorias;-0,1421976283182943
430;bens;-0,14009229121976438
431;bento;0,0
432;benção;-0,016240268455039203
433;berço;0,06019683697966625
434;biblioteca;-0,0
435;bica;-0,0
436;bicas;-0,0
437;bicho;0,12884675733979983
438;bifurcação;0,014644349452168848
439;bispado;0,0
440;bispo;0,028357753484819427
441;bloco;-0,0009978538117047955
442;boca;-0,0
443;bode;-0,0
444;boi;-0,1287624850332418
445;boiadeiros;-0,0
446;bois;-0,0
447;bomba;0,0
448;bondade;-0,07452387443098087
449;bondes;0,0
450;borda;-0,0
451;bordo;0,2006341555817526
452;borracha;-0,3175399380594301
453;bosque;0,09172578395365881
454;botequim;0,01864202646889763
455;botes;0,0
456;botocudos;-0,0
457;bovina;-0,0
458;bovino;-0,48981179539444025
459;bovinocultura;0,0
460;bovinos;-0,0
461;branco;0,0
462;brancos;-0,0
463;brasil;-0,047966621593714634
464;brasileiras;0,0
465;brasileiro;0,4507669243098707
466;brasileiros;0,14568239698940255
467;brasão;0,0
468;bravura;-0,041863176344380366
469;braças;-0,26354333056704404
470;braço;0,0727589436852395
471;braços;0,16669949836921982
472;brejo;-0,10502242131711621
473;brejos;-0,19050385124678226
474;briga;-0,0
475;brigadeiro;0,017061262791398454
476;brigas;-0,0
477;brilho;0,0
478;bruto;0,0
479;bugres;0,06982255825109603
480;buraco;-0,0
481;buracos;0,0
482;buriti;-0,0
483;burro;0,0
484;burros;-0,16930916906166224
485;busca;0,01273448962756755
486;buscas;0,0
487;bênção;0,06678387898302089
488;caa;0,0
489;caatinga;-0,44871387437684523
490;cabana;-0,0
491;cabanas;0,00553462416497239
492;cabanos;-0,0898809501065042
493;cabeceira;0,11068522460370808
494;cabeceiras;0,01645604586260882
495;cabelos;-0,0
496;cabeça;0,061604751206764494
497;cabeças;-0,0911010343787126
498;cabo;-0,0
499;cabocla;0,14826394163632015
500;caboclo;-0,18958883903309373
501;caboclos;0,16989317820355557
502;cabras;-0,044937956164330405
503;cacau;-0,3882182935410578
504;cachaça;-0,04671687711801892
505;cachoeira;0,22239005656469885
506;cachoeiras;0,11475120123098699
507;cachorros;0,0
508;cacimba;-0,20473422737518493
509;cacimbas;-0,0
510;cacique;0,18493261486488852
511;cadeia;-0,08310937150583278
512;cadeiras;-0,0
513;cafeeiro;0,016675644668438343
514;cafeicultores;0,0
515;cafeicultura;0,0640480272197677
516;cafezais;0,11281510478415374
517;café;0,6093866125141902
518;caiapós;0,37903542642500865
519;caic;-0,0
520;caingangues;0,18734847688309808
521;cais;0,0
522;caixa;-0,0
523;caju;-0,06695050071238372
524;cajueiro;-0,11911959701384336
525;cal;0,0
526;calcário;0,3457531415801734
527;calendário;-0,0
528;calçadista;0,0
529;calçados;0,1583354324614259
530;calçamento;-0,0
531;camaradas;0,01871433188219521
532;camarão;-0,07621087345030532
533;caminhada;0,05957095254552575
534;caminhadas;0,0
535;caminho;0,6397290531748296
536;caminhos;0,35686734605964326
537;caminhão;-0,0
538;caminhões;0,0
539;campanha;0,08403202915999071
540;campanhas;0,12756282580567294
541;campina;0,0528824554672664
542;campinas;0,0
543;camping;0,18542880041246557
544;campo;0,16639263682263702
545;camponeses;-0,0
546;campos;0,6682416643349286
547;cana;0,035622918707776306
548;canais;-0,0
549;canal;0,002329755876951066
550;canaviais;-0,0
551;cancha;0,0
552;candidato;-0,0
553;canela;-0,012325809014372528
554;cangaceiros;-0,1575125661478563
555;canoa;-0,00833315355782682
556;canoas;0,18915374723100026
557;canoeiros;0,10587071071729323
558;canteiro;0,0
559;canto;-0,0
560;cantos;0,3304543590686013
561;cap;0,022235128167490976
562;capacidade;-0,006304726725583877
563;capataz;0,15227833958542136
564;capatazes;-0,0
565;capela;-0,2368651528025907
566;capelas;0,0007382095029216744
567;capelinha;-0,0
568;capelão;0,0
569;capim;-0,09867674853077872
570;capita;-0,014284629166873822
571;capitais;0,0
572;capital;0,3005757729516006
573;capitania;0,0
574;capitanias;0,14248059743480948
575;capitães;-0,06139090541875998
576;capitão;-0,08148199472906464
577;capivara;0,0
578;capivaras;0,38172151929786863
579;caprinos;-0,284493055011572
580;captura;0,0
581;capuchinho;0,0
582;capuchinhos;-0,04452455069116598
583;capuchos;-0,09034057013435061
584;capão;0,19922352942654278
585;característica;0,05645497313601546
586;características;0,0
587;caravana;0,004360784624036826
588;caravanas;0,11460174849417568
589;caravelas;0,0
590;carga;-0,0
591;cargas;-0,04938883839269053
592;cargo;-0,056160791570969926
593;cargos;0,0
594;cargueiros;-0,0
595;carijós;0,13582736435315812
596;carioca;0,0
597;cariri;-0,0
598;cariris;-0,4141533810027023
599;carlos;0,0
600;carmelitas;-0,0
601;carmo;0,0
602;carnaval;-0,1267855711128229
603;carnaúba;-0,04456704724964002
604;carne;0,0
605;carnes;-0,0
606;carpintaria;0,0
607;carpinteiro;0,11279323747106187
608;carpinteiros;0,05817487964373833
609;carreiros;0,0
610;carretas;0,0
611;carreteiros;0,3671636670343507
612;carro;-0,0
613;carroceiros;0,0
614;carros;0,0
615;carroça;0,0
616;carroças;0,07369928575181431
617;carta;-0,0979782770947766
618;cartas;0,0
619;cartão;-0,0
620;cartório;-0,014944902284005782
621;carvão;0,20635074997504682
622;caráter;0,0
623;carência;0,0
624;casa;-0,28141252598636524
625;casais;0,33782749315669836
626;casal;0,08434089572364438
627;casamento;0,0
628;casamentos;-0,034820279705299204
629;casario;0,0
630;casarão;0,0
631;casarões;0,0
632;casas;-0,43748274279536326
633;casca;0,04817611085323188
634;cascalho;-0,0
635;cascalhos;-0,0
636;cascata;0,0
637;cascatas;0,24719991870512922
638;casebre;-0,0
639;casebres;-0,0
640;casinha;-0,10155756478757769
641;casinhas;-0,0
642;caso;0,0
643;casos;-0,0
644;castanha;-0,05168767722573809
645;castelhanos;0,044902142556783674
646;castelo;0,03602180283260497
647;castigo;-0,0
648;cata;-0,08358484794187641
649;catarina;0,06945767600599817
650;catarinense;0,497285429488882
651;catas;0,019433085542728306
652;catedral;0,0
653;categorias;-0,08680613954567123
654;catequese;-0,21976597862071445
655;catequização;0,0
656;cativos;0,0
657;catolicismo;0,0
658;católicos;0,060789426609047785
659;causa;0,03569821280149237
660;causas;-0,03312876025638815
661;cavalaria;0,0
662;cavaleiros;0,004280608922155039
663;cavalo;-0,16465664615411854
664;cavalos;0,11760784262067651
665;cavernas;0,0
666;caça;-0,0
667;caçador;-0,025114964149535714
668;caçadores;-0,1281657992227232
669;caças;-0,029515322893303445
670;cebola;0,0428603066942619
671;cedro;-0,0
672;ceee;0,0
673;cel;0,0
674;celebrante;-0,1403220485432583
675;celebração;-0,0
676;celebrações;0,021254756267895622
677;celeiro;0,0
678;celulose;0,0
679;cem;0,0
680;cemitério;-0,21643624408189982
681;cena;0,0
682;censo;-0,0
683;centena;-0,0
684;centenas;-0,05706578131549034
685;centenário;-0,022376861621680323
686;cento;-0,0
687;centro;0,21828782907508365
688;centros;0,12852502329926419
689;centímetros;0,0
690;cenário;0,006541582444580572
691;cera;-0,0
692;cercanias;0,10859379678246
693;cercas;-0,0
694;cereais;-0,007942051781627392
695;cerimônia;-0,0
696;cerimônias;-0,0
697;certeza;0,07826153021137376
698;certidão;-0,0
699;cerâmica;-0,09956077372937708
700;cerâmicas;0,0
701;cessão;-0,0
702;chapada;-0,0
703;chapéu;-0,0
704;chapéus;-0,0
705;charque;-0,0
706;charqueadas;0,10364643880325448
707;chefe;0,33248605096080036
708;chefes;0,01566018172740862
